,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
19,Part Time Larry,True,youtube,https://www.youtube.com/@parttimelarry,"Write programs to analyze, visualize, integrate, and utilize market data, APIs, and financial services.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Moon Dev,True,youtube,https://www.youtube.com/@moondevonyt,I like coding & finance a lot and i really love teaching!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coding Jesus,True,youtube,https://www.youtube.com/@CodingJesus,Channels purpose is to shine a positive light on the often difficult to navigate world of algorithmic trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading API with support for more than 100..,43,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2024-02-01 17:58:46,2024-02-01 17:58:42,81764.0,2918.0,6840.0,937.0,11479.0,754.0,8729.0,30323.0,2023-07-01 22:28:48,4.0.3,488.0,134348.0,1.0,4796.0,4796.0,779.0,https://www.npmjs.com/package/ccxt,134279.0,1.0,-1.0,,,,,,,,
39,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",32,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2024-02-01 12:43:41,2024-02-01 06:11:06,23531.0,804.0,5100.0,619.0,5411.0,37.0,4260.0,24228.0,2024-01-30 20:49:12,2024.1,,,80.0,48.0,48.0,320.0,,,1.0,3.0,,,,,,,,
40,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",30,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2024-02-01 17:49:23,2024-02-01 15:43:08,12214.0,116.0,2908.0,417.0,4694.0,213.0,2795.0,8390.0,2017-08-08 20:57:57,2.4.0.1,,,8.0,21.0,21.0,201.0,,,1.0,1.0,,,,,,,,
41,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,30,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2024-01-28 20:31:42,2023-09-22 03:13:32,1275.0,,1778.0,213.0,287.0,487.0,617.0,5615.0,2023-02-22 03:17:14,1.0.17,,,7.0,7007.0,7007.0,159.0,,,1.0,,,,,,,,,
42,Pandas TA,,ta,https://github.com/twopirllc/pandas-ta,Technical Analysis Indicators - Pandas TA is an easy to use Python 3 Pandas Extension with 130+ Indicators.,30,False,['python'],twopirllc/pandas-ta,,https://github.com/twopirllc/pandas-ta,MIT,2019-02-19 16:41:09,2024-01-30 20:44:21,2022-09-24 16:20:26,585.0,,870.0,93.0,209.0,97.0,440.0,4407.0,2021-07-28 20:21:21,0.3.14,,98433.0,5.0,3609.0,3609.0,45.0,,,1.0,,pandas_ta,https://pypi.org/project/pandas_ta,98433.0,,,,,
43,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3763.0,707.0,791.0,,2091.0,9988.0,2018-12-02 22:33:57,0.6.8,,,16.0,362.0,362.0,222.0,,,2.0,,,,,,,,,
44,Superalgos,,bots-frameworks,https://github.com/Superalgos/Superalgos,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots...",29,True,['nodejs'],Superalgos/Superalgos,,https://github.com/Superalgos/Superalgos,Apache-2.0,2019-08-12 17:34:43,2024-02-01 03:23:55,2024-01-31 18:29:38,23240.0,177.0,5206.0,207.0,4608.0,65.0,377.0,3679.0,2024-01-31 22:15:39,Superalgos-v1.6.0,8740.0,190.0,37.0,,,228.0,,,2.0,1.0,,,,,,,,
