,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,trending,new_addition,gitlab_id,gitlab_url
13,Finding Alphas,True,books,https://a.co/d/csmbxM7,A Quantitative Approach to Building Trading Strategies 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Algorithmic Trading and DMA,True,books,https://a.co/d/htjHUd6,An introduction to direct access trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Building Winning Algorithmic Trading Systems,True,books,https://a.co/d/401HtW6,A Traders Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading) 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Python for Finance,True,books,https://a.co/d/fvl0twW,Mastering Data-Driven Finance 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Technical Analysis Explained, Fifth Edition",True,books,https://a.co/d/7FTaLDf,The Successful Investors Guide to Spotting Investment Trends and Turning Points 5th Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantitative Investing,True,books,https://a.co/d/irZteKp,Strategies to exploit stock market anomalies for all investors.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,The Algorithmic Advantage,True,youtube,https://www.youtube.com/@AlgoAdvantage,Welcome to The Algorithmic Advantage podcast!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ali Casey | StatOasis,True,youtube,https://www.youtube.com/@StatOasis,Welcome to StatOasis your go-to hub for mastering algorithmic trading and building profitable strategy portfolios.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Part Time Larry,True,youtube,https://www.youtube.com/@parttimelarry,"Write programs to analyze, visualize, integrate, and utilize market data, APIs, and financial services.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Moon Dev,True,youtube,https://www.youtube.com/@moondevonyt,I like coding & finance a lot and i really love teaching!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Coding Jesus,True,youtube,https://www.youtube.com/@CodingJesus,Channels purpose is to shine a positive light on the often difficult to navigate world of algorithmic trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go.,46,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2026-03-26 18:08:28,2026-03-26 18:08:27,94608.0,1893.0,8278.0,946.0,16761.0,807.0,10541.0,41527.0,2026-03-24 20:59:02,4.5.45,100.0,6222.0,6222.0,880.0,https://www.npmjs.com/package/ccxt,263522.0,263522.0,1.0,,,,,,,,,,,
41,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",33,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2026-03-26 06:15:27,2026-03-26 06:15:21,31406.0,817.0,9784.0,732.0,7310.0,27.0,5548.0,48068.0,2026-02-28 11:26:08,2026.2,100.0,134.0,134.0,386.0,,,,1.0,,,,,,,,,,,
42,Hummingbot,,bots-frameworks,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots.,32,True,['python'],hummingbot/hummingbot,,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2026-03-24 06:29:20,2026-03-02 14:55:36,27032.0,517.0,4268.0,192.0,4619.0,276.0,3151.0,17834.0,2026-03-02 14:59:11,2.13.0,100.0,16.0,16.0,306.0,,,0.0,1.0,64.0,,,,,,,,,,
43,Node.js & Typescript Binance API SDK,,libraries-api,https://github.com/tiagosiebler/binance,"Node.js & JavaScript SDK for Binance REST APIs & WebSockets, with TypeScript & browser support, integration tests,..",32,True,['nodejs'],tiagosiebler/binance,binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2026-03-25 10:50:47,2026-03-25 10:50:14,1312.0,92.0,269.0,30.0,385.0,14.0,246.0,915.0,2026-03-25 10:50:47,3.5.3,32.0,1284.0,1284.0,74.0,https://www.npmjs.com/package/binance,23429.0,23429.0,1.0,,,,,,,,,,,
44,StockSharp,,bots-frameworks,https://github.com/StockSharp/StockSharp,"Algorithmic trading and quantitative trading open source platform to develop trading robots (stock markets, forex,..",31,True,['csharp'],StockSharp/StockSharp,,https://github.com/StockSharp/StockSharp,Apache-2.0,2014-12-08 07:53:44,2026-03-24 08:53:42,2026-03-24 08:52:51,11760.0,509.0,2032.0,537.0,483.0,8.0,173.0,9430.0,2020-03-27 06:57:38,5.0.0,50.0,21.0,21.0,27.0,,,82.0,1.0,10946.0,,,,,,,,,,
45,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",30,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2026-03-25 18:44:04,2026-03-25 17:51:00,13133.0,101.0,4534.0,482.0,5681.0,244.0,3364.0,18101.0,2017-08-08 20:57:57,2.4.0.1,8.0,21.0,21.0,226.0,,,,2.0,,,,,,,,,,,
46,TA-Lib,,ta,https://github.com/TA-Lib/ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,30,True,['python'],mrjbq7/ta-lib,,https://github.com/TA-Lib/ta-lib-python,BSD-2-Clause,2012-03-23 17:14:15,2026-03-16 16:55:43,2026-03-16 16:55:21,837.0,8.0,1931.0,337.0,99.0,132.0,504.0,11811.0,2025-10-20 20:47:55,0.6.8,4.0,,,40.0,,,673322.0,1.0,3395.0,TA-Lib,ta-lib,TA-Lib/ta-lib-python,https://pypi.org/project/TA-Lib,672837.0,https://anaconda.org/anaconda/ta-lib,,,,
47,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",30,True,['nodejs'],tiagosiebler/bybit-api,bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2026-03-19 17:51:16,2026-03-11 15:26:03,1295.0,47.0,102.0,10.0,336.0,2.0,192.0,335.0,2026-03-11 15:28:45,4.6.1,30.0,573.0,573.0,39.0,https://www.npmjs.com/package/bybit-api,87625.0,87625.0,1.0,,,,,,,,,,,
48,zipline,,libraries-api,https://github.com/quantopian/zipline,"Zipline, a Pythonic Algorithmic Trading Library.",29,False,['python'],quantopian/zipline,,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29,2024-02-13 08:02:51,2020-10-14 16:36:49,6226.0,,4334.0,1016.0,1872.0,331.0,661.0,19550.0,2020-10-05 15:43:07,1.4.1,13.0,1045.0,1045.0,161.0,,,,2.0,,,,,,,,,,,
49,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3671.0,700.0,791.0,,2090.0,10177.0,2018-12-02 22:33:57,0.6.8,16.0,374.0,374.0,223.0,,,,2.0,,,,,,,,,,,
50,Technical Analysis Library in Python,,ta,https://github.com/bukosabino/ta,Technical Analysis Library using Pandas and Numpy.,29,True,['python'],bukosabino/ta,,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48,2026-03-18 13:04:55,2026-03-18 13:04:55,663.0,1.0,1110.0,147.0,137.0,121.0,104.0,4920.0,,,,10166.0,10166.0,34.0,,,737083.0,1.0,,ta,,,https://pypi.org/project/ta,737083.0,,,,,
51,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,28,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2026-03-24 11:24:46,2026-03-24 11:24:10,1492.0,13.0,1940.0,220.0,450.0,508.0,698.0,7116.0,2026-03-24 11:24:46,1.0.36,24.0,20.0,20.0,190.0,,,,2.0,,,,,,,,1.0,,,
52,Node Binance API,,libraries-api,https://github.com/ccxt/node-binance-api,Node Binance API is an asynchronous node.js library for the Binance API designed to be easy to use.,28,True,['nodejs'],jaggedsoft/node-binance-api,,https://github.com/ccxt/node-binance-api,MIT,2017-10-05 22:15:44,2026-03-25 21:56:57,2026-03-18 11:45:28,1315.0,26.0,615.0,59.0,273.0,264.0,426.0,1661.0,2026-02-21 06:46:10,1.0.21,100.0,3104.0,3104.0,104.0,,,,2.0,,,,ccxt/node-binance-api,,,,,,,
53,OctoBot,,bots-frameworks,https://github.com/Drakkar-Software/OctoBot,"Free open source crypto trading bot to automate AI, Grid, DCA and TradingView strategies on Binance, Hyperliquid and..",25,True,['python'],Drakkar-Software/OctoBot,,https://github.com/Drakkar-Software/OctoBot,GPL-3.0,2018-02-23 23:13:05,2026-03-26 18:18:03,2026-03-17 21:30:02,5492.0,148.0,1088.0,113.0,2479.0,109.0,691.0,5518.0,2026-03-18 20:12:47,2.1.0,100.0,,,26.0,,,334.0,2.0,30801.0,,,,,,,,,,
54,Superalgos,,bots-frameworks,https://github.com/Superalgos/Superalgos,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots...",25,False,['nodejs'],Superalgos/Superalgos,,https://github.com/Superalgos/Superalgos,Apache-2.0,2019-08-12 17:34:43,2026-03-26 04:15:40,2024-11-02 15:44:02,23350.0,,6042.0,234.0,4747.0,62.0,388.0,5361.0,2024-11-02 15:47:43,Superalgos-v.1.6.1,38.0,,,230.0,,,128.0,2.0,9157.0,,,,,,,,,,
55,Zenbot,,bots-frameworks,https://github.com/DeviaVir/zenbot,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,24,False,['nodejs'],DeviaVir/zenbot,,https://github.com/DeviaVir/zenbot,MIT,2016-06-27 04:38:18,2022-02-14 16:11:27,2022-02-14 16:11:27,3885.0,,1957.0,467.0,1654.0,290.0,883.0,8281.0,2018-10-01 10:01:43,4.1.4,4.0,,,200.0,,,,2.0,,,,,,,,,,,
56,FinTA (Financial Technical Analysis),,ta,https://github.com/peerchemist/finta,Common financial technical indicators implemented in Pandas.,24,False,['python'],peerchemist/finta,,https://github.com/peerchemist/finta,LGPL-3.0,2016-09-01 21:02:46,2022-07-24 08:40:51,2022-07-24 08:40:51,394.0,,704.0,85.0,48.0,22.0,64.0,2248.0,2021-04-03 08:51:49,1.3,18.0,666.0,666.0,28.0,,,19789.0,2.0,,finta,,,https://pypi.org/project/finta,19789.0,,,,,
57,Node.js & Typescript OKX (OKEX) API SDK,,libraries-api,https://github.com/tiagosiebler/okx-api,"Node.js SDK for the OKX APIs and WebSockets, with TypeScript & browser support, integration tests, beautification &..",24,True,['nodejs'],tiagosiebler/okx-api,okx-api,https://github.com/tiagosiebler/okx-api,MIT,2022-07-09 09:48:52,2026-03-10 13:54:34,2026-03-10 13:53:47,444.0,29.0,48.0,3.0,143.0,1.0,39.0,165.0,2026-03-10 13:54:34,3.1.3,20.0,97.0,97.0,17.0,https://www.npmjs.com/package/okx-api,13002.0,13002.0,2.0,,,,,,,,,,,
58,gs-quant,,libraries-api,https://github.com/goldmansachs/gs-quant,Python toolkit for quantitative finance.,23,True,,goldmansachs/gs-quant,,https://github.com/goldmansachs/gs-quant,Apache-2.0,2018-12-14 21:10:40,2026-03-26 13:29:31,2026-03-26 13:26:52,527.0,31.0,1307.0,157.0,279.0,19.0,23.0,10016.0,2026-03-26 13:29:31,release-1.6.9,100.0,,,29.0,,,,2.0,,,,,,,,,True,,
59,Node.js & Typescript Bitget API SDK,,libraries-api,https://github.com/tiagosiebler/bitget-api,"Node.js SDK for the Bitget APIs and WebSockets, with TypeScript & browser support.",23,False,['nodejs'],tiagosiebler/bitget-api,bitget-api,https://github.com/tiagosiebler/bitget-api,MIT,2022-10-09 22:00:11,2026-03-26 04:23:14,2026-03-11 15:18:11,377.0,51.0,35.0,3.0,119.0,,19.0,71.0,2026-03-11 15:19:15,3.1.6,15.0,79.0,79.0,14.0,https://www.npmjs.com/package/bitget-api,11334.0,11334.0,2.0,,,,,,,,,,,
60,Jesse,,bots-frameworks,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python.,22,True,['python'],jesse-ai/jesse,,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2026-03-22 16:56:48,2026-03-21 13:42:03,3208.0,87.0,1056.0,204.0,395.0,5.0,140.0,7596.0,,,,6.0,6.0,53.0,,,,2.0,,,,,,,,,,,
61,Catalyst,,libraries-api,https://github.com/scrtlabs/catalyst,An Algorithmic Trading Library for Crypto-Assets in Python.,22,False,['python'],scrtlabs/catalyst,,https://github.com/scrtlabs/catalyst,Apache-2.0,2017-06-13 22:31:34,2022-11-26 14:07:55,2021-09-22 15:31:55,6364.0,,708.0,164.0,94.0,124.0,358.0,2555.0,,,,29.0,29.0,152.0,,,,2.0,,,,,,,,,,,
62,ta4j,,ta,https://github.com/ta4j/ta4j,A Java library for technical analysis.,22,False,['java'],ta4j/ta4j,,https://github.com/ta4j/ta4j,,2017-09-14 17:14:32,2026-03-25 20:34:10,2026-03-15 22:03:23,2114.0,146.0,777.0,107.0,870.0,12.0,588.0,2396.0,2026-03-15 21:30:13,0.22.4,12.0,,,100.0,,,20.0,2.0,1203.0,,,,,,,,,,
63,hftbacktest,,libraries-api,https://github.com/nkaz001/hftbacktest,"Free, open source, a high frequency trading and market making backtesting and trading bot, which accounts for limit..",20,True,['rust'],nkaz001/hftbacktest,,https://github.com/nkaz001/hftbacktest,MIT,2022-08-25 14:56:36,2025-12-23 15:57:58,2025-12-23 15:31:05,1038.0,,738.0,76.0,59.0,10.0,190.0,3861.0,2025-12-10 16:17:40,rust-v0.9.4,41.0,7.0,7.0,25.0,,,,2.0,,,,,,,,,True,,
64,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,559.0,94.0,67.0,76.0,127.0,2420.0,2018-09-26 14:22:17,2.0,1.0,2497.0,2497.0,17.0,,,,2.0,,,,,,,,,,,
65,RustQuant,,libraries-api,https://github.com/avhz/RustQuant,Rust library for quantitative finance.,20,True,['rust'],avhz/RustQuant,,https://github.com/avhz/RustQuant,Apache-2.0,2022-08-31 10:03:24,2026-01-14 00:46:56,2026-01-14 00:40:31,1046.0,5.0,193.0,31.0,176.0,25.0,102.0,1685.0,2024-11-23 00:15:01,RustQuant_stochastics-v0.4.0,100.0,25.0,25.0,47.0,,,,2.0,,,,,,,,,True,,
66,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,False,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,206.0,30.0,957.0,,486.0,378.0,2020-11-24 01:11:06,1.1.14,37.0,18.0,18.0,46.0,,,0.0,2.0,76.0,,,,,,,,,,
67,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",19,False,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2024-07-07 15:33:11,2022-08-09 13:26:32,565.0,,1271.0,307.0,211.0,54.0,224.0,5501.0,,,,,,28.0,,,,3.0,,,,,,,,,,,
68,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2024-12-15 15:26:06,2024-12-15 14:55:22,5432.0,,807.0,238.0,118.0,64.0,962.0,3678.0,2024-09-17 14:54:14,0.7.x,6.0,,,57.0,,,104.0,3.0,10937.0,,,,,,,,,,
69,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",19,True,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2026-03-01 09:59:09,2026-03-01 09:56:55,1034.0,115.0,968.0,186.0,136.0,108.0,103.0,3451.0,,,,,,17.0,,,,3.0,,,,,,,,,,,
70,Kelp,,bots-frameworks,https://github.com/stellar-deprecated/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,19,False,['go'],stellar/kelp,,https://github.com/stellar-deprecated/kelp,,2018-08-08 23:31:18,2023-11-03 05:46:15,2021-11-26 23:51:20,833.0,,263.0,64.0,330.0,150.0,289.0,1122.0,2021-11-05 20:56:13,1.12.0,25.0,1.0,1.0,15.0,,,2299.0,3.0,209240.0,,,stellar-deprecated/kelp,,,,,,,
71,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,19,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2024-08-15 09:14:45,2021-10-08 13:00:02,875.0,,164.0,19.0,150.0,52.0,118.0,640.0,2021-10-08 13:03:00,0.47.0,65.0,134.0,134.0,32.0,,,,3.0,,,,,,,,,,,
72,the0,,bots-frameworks,https://github.com/alexanderwanyoike/the0,Open Source Algorithmic Trading Engine.,19,True,"['python', 'rust', 'nodejs', 'cplusplus', 'csharp']",alexanderwanyoike/the0,,https://github.com/alexanderwanyoike/the0,Apache-2.0,2025-08-04 18:04:55,2026-03-24 13:09:32,2026-03-23 17:16:30,732.0,503.0,25.0,1.0,171.0,17.0,35.0,211.0,2026-03-24 13:11:24,1.10.0,35.0,,,6.0,,,142.0,3.0,142.0,,,,,,,,,,
73,backtrader,,libraries-api,https://github.com/mementum/backtrader,Python Backtesting library for trading strategies.,18,False,['python'],mementum/backtrader,,https://github.com/mementum/backtrader,GPL-3.0,2015-01-10 07:14:52,2024-08-19 17:47:36,2023-04-19 14:13:08,2404.0,,4718.0,660.0,243.0,,,20924.0,,,,,,56.0,,,,3.0,,,,,,,,-5.0,,,
74,machine-learning-for-trading,,libraries-api,https://github.com/stefan-jansen/machine-learning-for-trading,"Code for Machine Learning for Algorithmic Trading, 2nd edition.",17,False,,stefan-jansen/machine-learning-for-trading,,https://github.com/stefan-jansen/machine-learning-for-trading,,2018-05-09 12:33:08,2024-08-18 21:54:07,2023-03-05 17:14:58,351.0,,3690.0,438.0,34.0,12.0,299.0,16837.0,2021-02-27 02:09:47,2.0,1.0,,,16.0,,,,3.0,,,,,,,,,,,
75,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,False,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2024-08-19 19:20:27,2024-08-19 19:20:25,520.0,,357.0,85.0,77.0,3.0,60.0,1219.0,2022-04-19 22:57:14,0.6.0,12.0,,,27.0,,,2.0,3.0,184.0,,,,,,,,,,
