,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,gitlab_id,gitlab_url
14,Algorithmic Trading and DMA,True,books,https://a.co/d/htjHUd6,An introduction to direct access trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Building Winning Algorithmic Trading Systems,True,books,https://a.co/d/401HtW6,A Traders Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading) 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Python for Finance,True,books,https://a.co/d/fvl0twW,Mastering Data-Driven Finance 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Technical Analysis Explained, Fifth Edition",True,books,https://a.co/d/7FTaLDf,The Successful Investors Guide to Spotting Investment Trends and Turning Points 5th Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantitative Investing,True,books,https://a.co/d/irZteKp,Strategies to exploit stock market anomalies for all investors.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Part Time Larry,True,youtube,https://www.youtube.com/@parttimelarry,"Write programs to analyze, visualize, integrate, and utilize market data, APIs, and financial services.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Moon Dev,True,youtube,https://www.youtube.com/@moondevonyt,I like coding & finance a lot and i really love teaching!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coding Jesus,True,youtube,https://www.youtube.com/@CodingJesus,Channels purpose is to shine a positive light on the often difficult to navigate world of algorithmic trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go.,46,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2025-11-27 16:49:41,2025-11-27 16:49:41,92172.0,1801.0,8117.0,945.0,16113.0,774.0,10349.0,40026.0,2025-11-25 19:02:57,4.5.22,100.0,6088.0,6088.0,861.0,https://www.npmjs.com/package/ccxt,198740.0,198740.0,1.0,1.0,,,,,,,,,
39,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",34,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2025-11-27 06:04:34,2025-11-27 06:04:00,30259.0,862.0,9060.0,720.0,6997.0,29.0,5440.0,44902.0,2025-10-31 15:54:18,2025.10,100.0,125.0,125.0,373.0,,,,1.0,1.0,,,,,,,,,
40,Hummingbot,,bots-frameworks,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots.,32,True,['python'],hummingbot/hummingbot,,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2025-11-25 07:59:25,2025-11-03 07:49:08,26349.0,193.0,3875.0,184.0,4443.0,272.0,3102.0,15205.0,2025-11-03 07:52:27,2.10.0,100.0,16.0,16.0,300.0,,,0.0,1.0,,64.0,,,,,,,,
41,TA-Lib,,ta,https://github.com/TA-Lib/ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,31,True,['python'],mrjbq7/ta-lib,,https://github.com/TA-Lib/ta-lib-python,BSD-2-Clause,2012-03-23 17:14:15,2025-10-27 20:15:18,2025-10-27 20:14:58,828.0,19.0,1897.0,335.0,96.0,131.0,503.0,11465.0,2025-10-20 20:47:55,0.6.8,4.0,,,37.0,,,546145.0,1.0,-1.0,2331.0,TA-Lib,ta-lib,TA-Lib/ta-lib-python,https://pypi.org/project/TA-Lib,545368.0,https://anaconda.org/anaconda/ta-lib,,
42,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,31,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2025-11-03 21:12:51,2025-11-03 21:10:54,1466.0,7.0,1947.0,219.0,418.0,506.0,688.0,6981.0,2025-11-03 21:12:51,1.0.32,20.0,10776.0,10776.0,187.0,,,,1.0,,,,,,,,,,
43,Node.js & Typescript Binance API SDK,,libraries-api,https://github.com/tiagosiebler/binance,"Node.js & JavaScript SDK for Binance REST APIs & WebSockets, with TypeScript & browser support, integration tests,..",31,True,['nodejs'],tiagosiebler/binance,binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2025-11-23 16:23:14,2025-11-18 15:37:16,1189.0,36.0,265.0,31.0,344.0,18.0,231.0,895.0,2025-11-18 15:38:12,3.1.5,11.0,1268.0,1268.0,71.0,https://www.npmjs.com/package/binance,19655.0,19655.0,1.0,-1.0,,,,,,,,,
44,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",30,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2025-11-25 22:06:02,2025-11-25 18:32:06,12992.0,78.0,3813.0,454.0,5505.0,253.0,3285.0,13363.0,2017-08-08 20:57:57,2.4.0.1,8.0,21.0,21.0,223.0,,,,2.0,,,,,,,,,,
45,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3711.0,700.0,791.0,,2090.0,10170.0,2018-12-02 22:33:57,0.6.8,16.0,371.0,371.0,222.0,,,,2.0,,,,,,,,,,
46,Technical Analysis Library in Python,,ta,https://github.com/bukosabino/ta,Technical Analysis Library using Pandas and Numpy.,29,False,['python'],bukosabino/ta,,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48,2024-07-17 04:40:56,2023-11-02 13:49:44,662.0,,1104.0,148.0,134.0,120.0,104.0,4824.0,,,,9952.0,9952.0,34.0,,,556196.0,1.0,,,ta,,,https://pypi.org/project/ta,556196.0,,,
47,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",29,True,['nodejs'],tiagosiebler/bybit-api,bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2025-11-17 18:59:01,2025-11-14 16:15:00,1233.0,39.0,99.0,11.0,309.0,5.0,184.0,320.0,2025-11-14 16:23:34,4.4.2,21.0,557.0,557.0,38.0,https://www.npmjs.com/package/bybit-api,83326.0,83326.0,2.0,-1.0,,,,,,,,,
48,Node Binance API,,libraries-api,https://github.com/ccxt/node-binance-api,Node Binance API is an asynchronous node.js library for the Binance API designed to be easy to use.,28,True,['nodejs'],jaggedsoft/node-binance-api,,https://github.com/ccxt/node-binance-api,MIT,2017-10-05 22:15:44,2025-11-07 12:21:07,2025-11-07 12:20:59,1280.0,40.0,614.0,62.0,264.0,262.0,423.0,1653.0,2025-11-07 12:22:04,1.0.18,100.0,3098.0,3098.0,104.0,,,,2.0,,,,,ccxt/node-binance-api,,,,,
49,Superalgos,,bots-frameworks,https://github.com/Superalgos/Superalgos,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots...",25,True,['nodejs'],Superalgos/Superalgos,,https://github.com/Superalgos/Superalgos,Apache-2.0,2019-08-12 17:34:43,2025-11-27 03:36:22,2024-11-02 15:44:02,23350.0,,6030.0,235.0,4713.0,65.0,385.0,5145.0,2024-11-02 15:47:43,Superalgos-v.1.6.1,38.0,,,230.0,,,136.0,2.0,,9140.0,,,,,,,,
50,OctoBot,,bots-frameworks,https://github.com/Drakkar-Software/OctoBot,Open source crypto trading bot.,25,True,['python'],Drakkar-Software/OctoBot,,https://github.com/Drakkar-Software/OctoBot,GPL-3.0,2018-02-23 23:13:05,2025-11-27 13:49:54,2025-11-21 10:05:00,5303.0,84.0,992.0,113.0,2292.0,112.0,679.0,4962.0,2025-10-30 12:23:53,2.0.14,100.0,,,25.0,,,315.0,2.0,,27785.0,,,,,,,,
51,Zenbot,,bots-frameworks,https://github.com/DeviaVir/zenbot,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,24,False,['nodejs'],DeviaVir/zenbot,,https://github.com/DeviaVir/zenbot,MIT,2016-06-27 04:38:18,2022-02-14 16:11:27,2022-02-14 16:11:27,3885.0,,1986.0,467.0,1654.0,290.0,883.0,8287.0,2018-10-01 10:01:43,4.1.4,4.0,,,200.0,,,,2.0,,,,,,,,,,
52,FinTA (Financial Technical Analysis),,ta,https://github.com/peerchemist/finta,Common financial technical indicators implemented in Pandas.,24,False,['python'],peerchemist/finta,,https://github.com/peerchemist/finta,LGPL-3.0,2016-09-01 21:02:46,2022-07-24 08:40:51,2022-07-24 08:40:51,394.0,,701.0,85.0,48.0,22.0,64.0,2231.0,2021-04-03 08:51:49,1.3,18.0,655.0,655.0,28.0,,,49325.0,2.0,,,finta,,,https://pypi.org/project/finta,49325.0,,,
53,backtrader,,libraries-api,https://github.com/mementum/backtrader,Python Backtesting library for trading strategies.,23,False,['python'],mementum/backtrader,,https://github.com/mementum/backtrader,GPL-3.0,2015-01-10 07:14:52,2024-08-19 17:47:36,2023-04-19 14:13:08,2404.0,,4536.0,654.0,240.0,,,19580.0,,,,3414.0,3414.0,56.0,,,,2.0,,,,,,,,,,
54,Node.js & Typescript OKX (OKEX) API SDK,,libraries-api,https://github.com/tiagosiebler/okx-api,"Node.js SDK for the OKX APIs and WebSockets, with TypeScript & browser support, integration tests, beautification &..",23,True,['nodejs'],tiagosiebler/okx-api,okx-api,https://github.com/tiagosiebler/okx-api,MIT,2022-07-09 09:48:52,2025-11-22 10:13:13,2025-11-17 10:47:04,401.0,29.0,45.0,2.0,117.0,,39.0,156.0,2025-11-17 10:48:50,3.0.11,13.0,91.0,91.0,17.0,https://www.npmjs.com/package/okx-api,14895.0,14895.0,2.0,-1.0,,,,,,,,,
55,Jesse,,bots-frameworks,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python.,22,True,['python'],jesse-ai/jesse,,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2025-11-26 11:11:19,2025-11-25 09:04:32,3069.0,54.0,987.0,190.0,392.0,4.0,135.0,7158.0,,,,6.0,6.0,53.0,,,,2.0,,,,,,,,,,
56,Catalyst,,libraries-api,https://github.com/scrtlabs/catalyst,An Algorithmic Trading Library for Crypto-Assets in Python.,22,False,['python'],scrtlabs/catalyst,,https://github.com/scrtlabs/catalyst,Apache-2.0,2017-06-13 22:31:34,2022-11-26 14:07:55,2021-09-22 15:31:55,6364.0,,720.0,165.0,94.0,124.0,358.0,2552.0,,,,29.0,29.0,152.0,,,,2.0,,,,,,,,,,
57,ta4j,,ta,https://github.com/ta4j/ta4j,A Java library for technical analysis.,21,False,['java'],ta4j/ta4j,,https://github.com/ta4j/ta4j,,2017-09-14 17:14:32,2025-11-27 17:09:16,2025-11-25 01:52:47,1957.0,166.0,766.0,115.0,788.0,37.0,547.0,2317.0,2025-11-19 21:43:24,0.19,6.0,,,96.0,,,14.0,2.0,1.0,800.0,,,,,,,,
58,Node.js & Typescript Bitget API SDK,,libraries-api,https://github.com/tiagosiebler/bitget-api,"Node.js SDK for the Bitget APIs and WebSockets, with TypeScript & browser support.",21,False,['nodejs'],tiagosiebler/bitget-api,bitget-api,https://github.com/tiagosiebler/bitget-api,MIT,2022-10-09 22:00:11,2025-11-23 18:30:54,2025-11-17 11:44:31,317.0,21.0,35.0,4.0,85.0,1.0,17.0,70.0,2025-11-17 11:45:38,3.0.10,6.0,73.0,73.0,14.0,https://www.npmjs.com/package/bitget-api,6332.0,6332.0,2.0,,,,,,,,,,
59,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,555.0,96.0,65.0,76.0,127.0,2384.0,2018-09-26 14:22:17,2.0,1.0,2427.0,2427.0,17.0,,,,2.0,,,,,,,,,,
60,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,False,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,208.0,30.0,957.0,,486.0,377.0,2020-11-24 01:11:06,1.1.14,37.0,17.0,17.0,46.0,,,1.0,3.0,,76.0,,,,,,,,
61,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",19,False,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2024-07-07 15:33:11,2022-08-09 13:26:32,565.0,,1265.0,305.0,210.0,53.0,224.0,5394.0,,,,,,28.0,,,,3.0,,,,,,,,,,
62,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2024-12-15 15:26:06,2024-12-15 14:55:22,5432.0,,815.0,241.0,118.0,62.0,961.0,3643.0,2024-09-17 14:54:14,0.7.x,6.0,,,57.0,,,107.0,3.0,,10904.0,,,,,,,,
63,Kelp,,bots-frameworks,https://github.com/stellar-deprecated/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,19,False,['go'],stellar/kelp,,https://github.com/stellar-deprecated/kelp,,2018-08-08 23:31:18,2023-11-03 05:46:15,2021-11-26 23:51:20,833.0,,262.0,65.0,330.0,150.0,289.0,1123.0,2021-11-05 20:56:13,1.12.0,25.0,1.0,1.0,15.0,,,2403.0,3.0,,209095.0,,,stellar-deprecated/kelp,,,,,
64,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,19,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2024-08-15 09:14:45,2021-10-08 13:00:02,875.0,,169.0,19.0,150.0,52.0,118.0,639.0,2021-10-08 13:03:00,0.47.0,65.0,133.0,133.0,32.0,,,,3.0,,,,,,,,,,
65,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,False,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2024-08-19 19:20:27,2024-08-19 19:20:25,520.0,,360.0,85.0,77.0,3.0,60.0,1217.0,2022-04-19 22:57:14,0.6.0,12.0,,,27.0,,,2.0,3.0,,184.0,,,,,,,,
66,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,157.0,48.0,15.0,12.0,9.0,661.0,2018-05-08 15:21:50,0.2.2,7.0,189.0,189.0,5.0,,,,3.0,,,,,,,,,,
67,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",16,False,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2024-10-03 08:14:22,2024-10-03 08:14:19,919.0,,960.0,185.0,134.0,107.0,102.0,3402.0,,,,,,16.0,,,,3.0,,,,,,,,,,
68,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",16,False,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-10-27 07:16:28,2023-10-27 07:16:23,209.0,,610.0,96.0,139.0,114.0,184.0,827.0,,,,,,44.0,,,,3.0,,,,,,,,,,
69,Coinnect,,libraries-api,https://github.com/hugues31/coinnect,Coinnect is a Rust library aiming to provide a complete access to main crypto currencies exchanges via REST API.,16,False,['rust'],hugues31/coinnect,,https://github.com/hugues31/coinnect,MIT,2017-02-14 23:22:33,2021-11-30 20:49:56,2021-11-30 20:49:56,220.0,,42.0,14.0,50.0,6.0,21.0,155.0,2018-03-25 17:49:34,0.5.10,13.0,15.0,15.0,12.0,,,,3.0,,,,,,,,,,
70,Techan,,ta,https://github.com/sdcoffey/techan,Technical Analysis Library for Golang.,15,False,['go'],sdcoffey/techan,,https://github.com/sdcoffey/techan,MIT,2017-03-08 03:04:08,2023-09-13 21:16:18,2021-11-17 16:09:20,165.0,,152.0,50.0,25.0,14.0,19.0,880.0,2018-04-12 18:41:52,0.3.0,4.0,,,9.0,,,,3.0,,,,,,,,,,
71,crypto-exchanges-gateway,,libraries-api,https://github.com/aloysius-pgast/crypto-exchanges-gateway,Your gateway to the world of crypto !.,15,False,['nodejs'],aloysius-pgast/crypto-exchanges-gateway,,https://github.com/aloysius-pgast/crypto-exchanges-gateway,,2017-09-15 12:25:00,2025-11-06 21:34:05,2023-11-11 22:18:19,582.0,,150.0,37.0,342.0,,43.0,608.0,2023-11-11 22:34:16,1.13.2,44.0,,,4.0,,,,3.0,,,,,,,,,,
72,ftx-api,,libraries-api,https://github.com/tiagosiebler/ftx-api,"Node.js connector for the FTX.com & FTX.us APIs and WebSockets, with TypeScript & browser support.",15,False,['nodejs'],tiagosiebler/ftx-api,,https://github.com/tiagosiebler/ftx-api,MIT,2021-03-14 12:57:46,2023-03-14 15:33:38,2022-11-29 09:32:49,152.0,,43.0,1.0,67.0,1.0,33.0,122.0,2021-05-07 19:50:59,1.0.9,4.0,116.0,116.0,14.0,,,,3.0,,,,,,,,,,
73,Tulip Indicators,,ta,https://github.com/TulipCharts/tulipindicators,Technical Analysis Indicator Function Library in C.,14,False,['c'],TulipCharts/tulipindicators,,https://github.com/TulipCharts/tulipindicators,LGPL-3.0,2016-12-01 04:11:05,2024-02-02 23:02:49,2024-01-08 22:07:11,56.0,,174.0,53.0,54.0,34.0,42.0,932.0,2022-01-18 01:53:32,0.9.1,2.0,,,4.0,,,,3.0,,,,,,,,,,
74,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,14,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2025-06-25 18:26:27,2025-06-25 18:26:24,348.0,,371.0,102.0,41.0,53.0,193.0,781.0,2023-05-25 21:38:13,1.42.21,41.0,,,11.0,,,2.0,3.0,,412.0,,,,,,,,
75,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,14,False,['nodejs'],binance-exchange/binance-api-node,,https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2023-10-27 07:10:40,2023-10-27 06:14:52,506.0,,169.0,42.0,26.0,,,566.0,2018-03-09 22:50:04,0.7.1,4.0,,,106.0,,,,3.0,,,,,,,,,,
