,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,pypi_url,pypi_monthly_downloads,github_release_downloads,trending,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
0,ALGO TRADING CHEAT CODES,True,books,https://a.co/d/clZdkkf,Techniques For Traders To Quickly And Efficiently Develop Better Algorithmic Trading Systems.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Entry and Exit Confessions of a Champion Trader,True,books,https://a.co/d/4QI2fDU,"52 Ways A Professional Speculator Gets In And Out Of The Stock, Futures And Forex Markets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Introduction To Algo Trading,True,books,https://a.co/d/fpqbVFq,How Retail Traders Can Successfully Compete With Professional Traders (Essential Algo Trading Package).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Algo Trading 2022,True,books,https://a.co/d/6C7tyK8,Techniques and Algorithmic Trading Systems for Successful Investing.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Machine Learning for Algorithmic Trading,True,books,https://a.co/d/c1cWdjY,Predictive models to extract signals from market and alternative data for systematic trading strategies with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Algorithmic Trading,True,books,https://a.co/d/6z9xiIB,A Practitioners Guide.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Developing High-Frequency Trading Systems,True,books,https://a.co/d/dr8n0VV,Learn how to implement high-frequency trading from scratch with C++ or Java basics.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Algorithmic Trading: Winning Strategies and Their Rationale,True,books,https://a.co/d/3qRbZEe,Winning Strategies and Their Rationale.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Python for Algorithmic Trading,True,books,https://a.co/d/3g8wHDC,From Idea to Cloud Deployment.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quantitative Trading,True,books,https://a.co/d/8AKZ81H,How to Build Your Own Algorithmic Trading Business (Wiley Trading).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Algorithmic Trading with Interactive Brokers,True,books,https://a.co/d/0BG4zaW,(Python and C++).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Automated Stock Trading Systems,True,books,https://a.co/d/70Kf40O,"A Systematic Approach for Traders to Make Money in Bull, Bear and Sideways Markets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Inside the Black Box,True,books,https://www.amazon.com/Inside-Black-Box-Quantitative-Frequency-ebook/dp/B00BZ9WAVW,A Simple Guide to Quantitative and High Frequency Trading (Wiley Finance Book 885) 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Finding Alphas,True,books,https://a.co/d/csmbxM7,A Quantitative Approach to Building Trading Strategies 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Algorithmic Trading and DMA,True,books,https://a.co/d/htjHUd6,An introduction to direct access trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Building Winning Algorithmic Trading Systems,True,books,https://a.co/d/401HtW6,A Traders Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading) 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Python for Finance,True,books,https://a.co/d/fvl0twW,Mastering Data-Driven Finance 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Technical Analysis Explained, Fifth Edition",True,books,https://a.co/d/7FTaLDf,The Successful Investors Guide to Spotting Investment Trends and Turning Points 5th Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantitative Investing,True,books,https://a.co/d/irZteKp,Strategies to exploit stock market anomalies for all investors.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Part Time Larry,True,youtube,https://www.youtube.com/@parttimelarry,"Write programs to analyze, visualize, integrate, and utilize market data, APIs, and financial services.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Moon Dev,True,youtube,https://www.youtube.com/@moondevonyt,I like coding & finance a lot and i really love teaching!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coding Jesus,True,youtube,https://www.youtube.com/@CodingJesus,Channels purpose is to shine a positive light on the often difficult to navigate world of algorithmic trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges.,41,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2023-03-30 18:06:27,2023-03-30 17:53:35,71400.0,3248.0,6399.0,936.0,8896.0,699.0,7728.0,27711.0,4023.0,4023.0,726.0,https://www.npmjs.com/package/ccxt,106986.0,106986.0,1.0,,,,,,,,,,,,,
39,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,31,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2023-03-26 18:42:24,2023-02-21 13:07:30,1236.0,31.0,1636.0,210.0,261.0,441.0,600.0,5130.0,5694.0,5694.0,148.0,,,,1.0,2023-02-22 03:17:14,1.0.17,7.0,,,,,,,,,,
40,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",30,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2023-03-30 07:23:58,2023-03-30 05:06:23,20269.0,955.0,4364.0,589.0,4674.0,43.0,3665.0,21153.0,,,297.0,,,,1.0,2023-02-26 13:54:23,2023.2,68.0,,,,,,,,,,
41,Pandas TA,,ta,https://github.com/twopirllc/pandas-ta,Technical Analysis Indicators - Pandas TA is an easy to use Python 3 Pandas Extension with 130+ Indicators.,30,True,['python'],twopirllc/pandas-ta,,https://github.com/twopirllc/pandas-ta,MIT,2019-02-19 16:41:09,2023-03-29 16:53:10,2022-09-24 16:20:26,585.0,,738.0,86.0,181.0,95.0,386.0,3458.0,2833.0,2833.0,45.0,,,83006.0,1.0,2021-07-28 20:21:21,0.3.14,5.0,pandas_ta,https://pypi.org/project/pandas_ta,83006.0,,,,,,,
42,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3782.0,709.0,791.0,,2092.0,9927.0,354.0,354.0,222.0,,,,1.0,2018-12-02 22:33:57,0.6.8,16.0,,,,,,,,,,
43,Hummingbot,,bots-frameworks,https://github.com/hummingbot/hummingbot,Hummingbot is open source software that helps you build trading bots that run on any exchange or blockchain.,28,True,['python'],hummingbot/hummingbot,,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2023-03-30 15:42:45,2023-02-27 21:25:35,18917.0,352.0,1863.0,128.0,3475.0,332.0,2374.0,5635.0,,,209.0,,,0.0,1.0,2023-03-01 01:10:33,1.13.0,76.0,,,,30.0,,,,,,
44,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",27,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2023-03-30 15:50:50,2023-03-29 19:06:42,11786.0,161.0,2690.0,405.0,4307.0,255.0,2560.0,7264.0,,,186.0,,,,2.0,2017-08-08 20:57:57,2.4.0.1,8.0,,,,,,,,,,
45,Technical Analysis Library in Python,,ta,https://github.com/bukosabino/ta,Technical Analysis Library using Pandas and Numpy.,27,True,['python'],bukosabino/ta,,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48,2023-03-23 23:25:10,2022-08-23 15:59:41,615.0,,756.0,148.0,114.0,106.0,98.0,3534.0,1874.0,1874.0,29.0,,,83797.0,1.0,,,,ta,https://pypi.org/project/ta,83797.0,,,,,,,
46,Superalgos,,bots-frameworks,https://github.com/Superalgos/Superalgos,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots...",27,True,['nodejs'],Superalgos/Superalgos,,https://github.com/Superalgos/Superalgos,Apache-2.0,2019-08-12 17:34:43,2023-03-30 03:25:03,2022-12-29 18:56:02,21645.0,,4931.0,191.0,4371.0,66.0,367.0,3272.0,,,210.0,,,236.0,2.0,2022-11-28 01:24:53,Superalgos-v.1.3.0,35.0,,,,8266.0,1.0,,,,,
47,Node.js & Typescript Binance API SDK,,libraries-api,https://github.com/tiagosiebler/binance,"Node.js SDK for the Binance APIs and WebSockets, with TypeScript & browser support, integration tests, beautification..",26,True,['nodejs'],tiagosiebler/binance,binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2023-03-27 11:36:56,2023-03-27 11:36:52,487.0,50.0,196.0,27.0,170.0,25.0,124.0,564.0,819.0,819.0,45.0,https://www.npmjs.com/package/binance,8694.0,8694.0,1.0,,,,,,,,,,,,,
48,Node Binance API,,libraries-api,https://github.com/jaggedsoft/node-binance-api,Node Binance API is an asynchronous node.js library for the Binance API designed to be easy to use.,25,False,['nodejs'],jaggedsoft/node-binance-api,,https://github.com/jaggedsoft/node-binance-api,MIT,2017-10-05 22:15:44,2023-01-03 23:30:43,2021-11-24 02:14:28,1009.0,,585.0,64.0,220.0,248.0,395.0,1501.0,2270.0,2270.0,94.0,,,,2.0,2021-08-15 16:08:42,0.13.0,99.0,,,,,,,,,,
49,backtrader,,libraries-api,https://github.com/mementum/backtrader,Python Backtesting library for trading strategies.,24,False,['python'],mementum/backtrader,,https://github.com/mementum/backtrader,GPL-3.0,2015-01-10 07:14:52,2023-03-10 06:44:04,2021-07-17 22:17:12,2385.0,,2990.0,581.0,208.0,,,10317.0,1404.0,1404.0,52.0,,,,2.0,,,,,,,,,,,,,
50,Zenbot,,bots-frameworks,https://github.com/DeviaVir/zenbot,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,24,False,['nodejs'],DeviaVir/zenbot,,https://github.com/DeviaVir/zenbot,MIT,2016-06-27 04:38:18,2022-02-14 16:11:27,2022-02-14 16:11:27,3885.0,,2010.0,474.0,1654.0,290.0,883.0,8187.0,,,199.0,,,,2.0,2018-10-01 10:01:43,4.1.4,4.0,,,,,,,,,,
51,TA-Lib,,ta,https://github.com/TA-Lib/ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,24,True,['python'],mrjbq7/ta-lib,,https://github.com/TA-Lib/ta-lib-python,,2012-03-23 17:14:15,2023-02-28 17:01:45,2023-02-28 17:01:34,571.0,12.0,1450.0,319.0,73.0,188.0,325.0,7614.0,,,25.0,,,70209.0,2.0,,,,TA-Lib,https://pypi.org/project/TA-Lib,70209.0,,,ta-lib,TA-Lib/ta-lib-python,https://anaconda.org/anaconda/ta-lib,,
52,OctoBot,,bots-frameworks,https://github.com/Drakkar-Software/OctoBot,Cryptocurrency trading bot using technical analysis based strategy with an advanced web interface.,24,True,['python'],Drakkar-Software/OctoBot,,https://github.com/Drakkar-Software/OctoBot,GPL-3.0,2018-02-23 23:13:05,2023-03-30 13:37:09,2023-03-24 20:25:54,4369.0,160.0,522.0,101.0,1558.0,73.0,637.0,1994.0,,,25.0,,,66.0,2.0,2023-03-24 22:54:25,0.4.46,84.0,,,,3850.0,,,,,,
53,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",24,True,['nodejs'],tiagosiebler/bybit-api,bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2023-03-25 12:38:08,2023-03-25 12:37:49,657.0,70.0,49.0,6.0,156.0,10.0,77.0,136.0,120.0,120.0,21.0,https://www.npmjs.com/package/bybit-api,8157.0,8157.0,2.0,2022-09-19 23:37:03,3.0.1,9.0,,,,,1.0,,,,,
54,FinTA (Financial Technical Analysis),,ta,https://github.com/peerchemist/finta,Common financial technical indicators implemented in Pandas.,23,True,['python'],peerchemist/finta,,https://github.com/peerchemist/finta,LGPL-3.0,2016-09-01 21:02:46,2022-07-24 08:40:51,2022-07-24 08:40:51,394.0,,608.0,81.0,48.0,22.0,64.0,1874.0,338.0,338.0,28.0,,,7193.0,2.0,2021-04-03 08:51:49,1.3,18.0,finta,https://pypi.org/project/finta,7193.0,,,,,,,
55,Catalyst,,libraries-api,https://github.com/scrtlabs/catalyst,An Algorithmic Trading Library for Crypto-Assets in Python.,22,False,['python'],scrtlabs/catalyst,,https://github.com/scrtlabs/catalyst,Apache-2.0,2017-06-13 22:31:34,2022-11-26 14:07:55,2021-09-22 15:31:55,6364.0,,706.0,165.0,94.0,124.0,358.0,2407.0,25.0,25.0,149.0,,,,2.0,,,,,,,,,,,,,
56,ta4j,,ta,https://github.com/ta4j/ta4j,A Java library for technical analysis.,22,False,['java'],ta4j/ta4j,,https://github.com/ta4j/ta4j,,2017-09-14 17:14:32,2023-03-30 05:12:45,2022-09-19 21:24:42,1199.0,,597.0,117.0,488.0,34.0,419.0,1737.0,321.0,321.0,73.0,,,5.0,2.0,2022-09-11 14:54:35,0.15,2.0,,,,117.0,,,,,,
57,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,21,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2023-03-04 02:38:34,2021-10-08 13:00:02,875.0,,166.0,22.0,150.0,52.0,118.0,605.0,105.0,105.0,32.0,,,,2.0,2021-10-08 13:03:00,0.47.0,65.0,,,,,,,,,,
58,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,483.0,92.0,63.0,75.0,127.0,1932.0,1006.0,1006.0,17.0,,,,3.0,2018-09-26 14:22:17,2.0,1.0,,,,,,,,,,
59,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,True,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,208.0,32.0,957.0,,486.0,359.0,11.0,11.0,44.0,,,0.0,2.0,2020-11-24 01:11:06,1.1.14,37.0,,,,37.0,,,,,,
60,Jesse,,bots-frameworks,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python.,19,True,['python'],jesse-ai/jesse,,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2023-03-27 22:31:08,2023-01-09 10:13:19,2050.0,1.0,575.0,185.0,295.0,,,4554.0,21.0,21.0,43.0,,,,2.0,,,,,,,,-1.0,,,,,
61,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2022-09-18 23:11:54,2021-12-08 19:01:54,5345.0,,750.0,235.0,117.0,69.0,945.0,3009.0,,,56.0,,,62.0,2.0,2021-01-15 05:27:12,0.6.x,5.0,,,,4303.0,,,,,,
62,Mida,,bots-frameworks,https://github.com/Reiryoku-Technologies/Mida,The open-source and cross-platform trading framework.,19,True,['nodejs'],Reiryoku-Technologies/Mida,,https://github.com/Reiryoku-Technologies/Mida,MIT,2020-09-21 19:13:08,2023-03-13 21:37:45,2023-03-13 21:37:30,851.0,16.0,27.0,13.0,58.0,17.0,21.0,284.0,19.0,19.0,4.0,,,,2.0,2023-03-13 21:38:36,2023.1.2,18.0,,,,,1.0,,,,,
