,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,trending,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,gitlab_id,gitlab_url
22,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go.,45,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2025-09-11 17:18:06,2025-09-11 17:18:05,90520.0,1513.0,7888.0,939.0,15693.0,838.0,10115.0,37997.0,2025-09-11 17:09:22,4.5.4,100.0,6029.0,6029.0,851.0,https://www.npmjs.com/package/ccxt,233035.0,233035.0,1.0,,,,,,,,,,
39,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",33,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2025-09-11 17:30:43,2025-09-11 17:29:23,29463.0,759.0,8372.0,710.0,6792.0,33.0,5330.0,42069.0,2025-08-31 06:26:22,2025.8,100.0,121.0,121.0,369.0,,,,1.0,,,,,,,,,,
40,Hummingbot,,bots-frameworks,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots.,32,True,['python'],hummingbot/hummingbot,,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2025-09-11 12:39:40,2025-08-21 08:38:58,26064.0,391.0,3644.0,183.0,4385.0,267.0,3081.0,14398.0,2025-08-21 08:52:20,2.8.0,100.0,15.0,15.0,298.0,,,0.0,1.0,64.0,,,,,,,,,
41,Node.js & Typescript Binance API SDK,,libraries-api,https://github.com/tiagosiebler/binance,"Node.js & JavaScript SDK for Binance REST APIs & WebSockets, with TypeScript & browser support, integration tests,..",32,True,['nodejs'],tiagosiebler/binance,binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2025-08-25 14:52:04,2025-08-25 14:51:28,1153.0,59.0,263.0,33.0,331.0,18.0,222.0,874.0,2025-08-25 14:52:05,3.0.7,3.0,1261.0,1261.0,69.0,https://www.npmjs.com/package/binance,18725.0,18725.0,1.0,,3.0,,,,,,,,
42,TA-Lib,,ta,https://github.com/TA-Lib/ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,31,True,['python'],mrjbq7/ta-lib,,https://github.com/TA-Lib/ta-lib-python,BSD-2-Clause,2012-03-23 17:14:15,2025-09-04 16:03:36,2025-09-04 15:30:54,813.0,105.0,1868.0,335.0,95.0,131.0,501.0,11146.0,2025-09-04 16:29:37,0.6.7,3.0,,,36.0,,,371174.0,1.0,1018.0,6.0,TA-Lib,ta-lib,TA-Lib/ta-lib-python,https://pypi.org/project/TA-Lib,370156.0,https://anaconda.org/anaconda/ta-lib,,
43,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,31,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2025-08-25 13:10:24,2025-08-25 13:10:24,1459.0,5.0,1919.0,219.0,409.0,505.0,678.0,6822.0,2025-05-19 13:47:47,1.0.29,17.0,10710.0,10710.0,186.0,,,,1.0,,,,,,,,,,
44,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",30,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2025-09-11 16:54:38,2025-09-10 17:15:02,12921.0,86.0,3589.0,454.0,5430.0,259.0,3226.0,12292.0,2017-08-08 20:57:57,2.4.0.1,8.0,21.0,21.0,219.0,,,,2.0,,,,,,,,,,
45,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",30,True,['nodejs'],tiagosiebler/bybit-api,bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2025-09-05 23:29:57,2025-09-05 23:28:58,1196.0,72.0,99.0,12.0,295.0,5.0,178.0,303.0,2025-09-05 23:29:58,4.3.0,15.0,553.0,553.0,38.0,https://www.npmjs.com/package/bybit-api,62086.0,62086.0,2.0,,,,,,,,,,
46,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3715.0,705.0,791.0,,2090.0,10162.0,2018-12-02 22:33:57,0.6.8,16.0,371.0,371.0,222.0,,,,2.0,,,,,,,,,,
